food_id,food_name,category,ingredient_order,ingredient_name,ingredient_type,reason_if_unhealthy,health_concern_tag,ingredient_note
17,Protein Bar,Breakfast,1,Whole Grain Oats or Grain Base,Healthy,,,Can contribute fiber and longer satiety if present in meaningful amounts.
17,Protein Bar,Breakfast,2,Sugar,Unhealthy,Raises added sugar content.,High sugar,
17,Protein Bar,Breakfast,3,Malt Extract or Syrup,Unhealthy,Concentrated sweetener that may raise glycemic load.,High glycemic load,
17,Protein Bar,Breakfast,4,Salt,Unhealthy,Packaged breakfast foods can still contain notable sodium.,High sodium,
17,Protein Bar,Breakfast,5,Fortified Vitamins,Healthy,,,Added micronutrients may improve nutritional profile.
17,Protein Bar,Breakfast,6,Flavoring,Neutral,,,Used for taste.
18,Fruit Yogurt,Dairy,1,Milk Solids,Healthy,,,Provide protein and calcium.
18,Fruit Yogurt,Dairy,2,Sugar,Unhealthy,Raises added sugar content and calorie density.,High sugar,
18,Fruit Yogurt,Dairy,3,Cream,Unhealthy,Can increase saturated fat load.,Saturated fat,
18,Fruit Yogurt,Dairy,4,Stabilizers,Neutral,,,Used for consistency and shelf life.
18,Fruit Yogurt,Dairy,5,Fruit Puree or Flavor,Neutral,,,"May add taste, though sometimes only in small amounts."
18,Fruit Yogurt,Dairy,6,Cultures,Healthy,,,Beneficial in fermented dairy products like yogurt.
19,Flavored Yogurt,Dairy,1,Milk Solids,Healthy,,,Provide protein and calcium.
19,Flavored Yogurt,Dairy,2,Sugar,Unhealthy,Raises added sugar content and calorie density.,High sugar,
19,Flavored Yogurt,Dairy,3,Cream,Unhealthy,Can increase saturated fat load.,Saturated fat,
19,Flavored Yogurt,Dairy,4,Stabilizers,Neutral,,,Used for consistency and shelf life.
19,Flavored Yogurt,Dairy,5,Fruit Puree or Flavor,Neutral,,,"May add taste, though sometimes only in small amounts."
19,Flavored Yogurt,Dairy,6,Cultures,Healthy,,,Beneficial in fermented dairy products like yogurt.
20,Processed Cheese Slices,Dairy,1,Milk Solids,Healthy,,,Provide protein and calcium.
20,Processed Cheese Slices,Dairy,2,Sugar,Unhealthy,Raises added sugar content and calorie density.,High sugar,
20,Processed Cheese Slices,Dairy,3,Cream,Unhealthy,Can increase saturated fat load.,Saturated fat,
20,Processed Cheese Slices,Dairy,4,Stabilizers,Neutral,,,Used for consistency and shelf life.
20,Processed Cheese Slices,Dairy,5,Fruit Puree or Flavor,Neutral,,,"May add taste, though sometimes only in small amounts."
20,Processed Cheese Slices,Dairy,6,Cultures,Healthy,,,Beneficial in fermented dairy products like yogurt.
21,Ice Cream Tub,Desserts,1,Milk Solids,Healthy,,,Provide protein and calcium.
21,Ice Cream Tub,Desserts,2,Sugar,Unhealthy,Raises added sugar content and calorie density.,High sugar,
21,Ice Cream Tub,Desserts,3,Cream,Unhealthy,Can increase saturated fat load.,Saturated fat,
21,Ice Cream Tub,Desserts,4,Stabilizers,Neutral,,,Used for consistency and shelf life.
21,Ice Cream Tub,Desserts,5,Fruit Puree or Flavor,Neutral,,,"May add taste, though sometimes only in small amounts."
21,Ice Cream Tub,Desserts,6,Cultures,Healthy,,,Beneficial in fermented dairy products like yogurt.
22,Chocolate Ice Cream Bar,Desserts,1,Milk Solids,Healthy,,,Provide protein and calcium.
22,Chocolate Ice Cream Bar,Desserts,2,Sugar,Unhealthy,Raises added sugar content and calorie density.,High sugar,
22,Chocolate Ice Cream Bar,Desserts,3,Cream,Unhealthy,Can increase saturated fat load.,Saturated fat,
22,Chocolate Ice Cream Bar,Desserts,4,Stabilizers,Neutral,,,Used for consistency and shelf life.
22,Chocolate Ice Cream Bar,Desserts,5,Fruit Puree or Flavor,Neutral,,,"May add taste, though sometimes only in small amounts."
22,Chocolate Ice Cream Bar,Desserts,6,Cultures,Healthy,,,Beneficial in fermented dairy products like yogurt.
23,Soft Drink Cola,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
23,Soft Drink Cola,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
23,Soft Drink Cola,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
23,Soft Drink Cola,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
23,Soft Drink Cola,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
23,Soft Drink Cola,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
24,Orange Soda,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
24,Orange Soda,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
24,Orange Soda,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
24,Orange Soda,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
24,Orange Soda,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
24,Orange Soda,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
25,Energy Drink,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
25,Energy Drink,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
25,Energy Drink,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
25,Energy Drink,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
25,Energy Drink,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
25,Energy Drink,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
26,Sports Drink,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
26,Sports Drink,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
26,Sports Drink,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
26,Sports Drink,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
26,Sports Drink,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
26,Sports Drink,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
27,Sweetened Iced Tea,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
27,Sweetened Iced Tea,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
27,Sweetened Iced Tea,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
27,Sweetened Iced Tea,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
27,Sweetened Iced Tea,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
27,Sweetened Iced Tea,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
28,Packaged Fruit Juice,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
28,Packaged Fruit Juice,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
28,Packaged Fruit Juice,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
28,Packaged Fruit Juice,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
28,Packaged Fruit Juice,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
28,Packaged Fruit Juice,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
29,Chocolate Milk Drink,Beverages,1,Carbonated Water,Neutral,,,Base liquid component.
29,Chocolate Milk Drink,Beverages,2,High Fructose Corn Syrup,Unhealthy,"Very high added sugar load; may contribute to insulin resistance, weight gain, and fatty liver risk when consumed often.",High sugar,
29,Chocolate Milk Drink,Beverages,3,Citric Acid,Neutral,,,Used for tartness and preservation.
29,Chocolate Milk Drink,Beverages,4,Artificial Flavors,Neutral,,,Used mainly to mimic or enhance taste.
29,Chocolate Milk Drink,Beverages,5,Caffeine,Unhealthy,"May worsen caffeine sensitivity, palpitations, anxiety, or sleep disturbance in some people.",Stimulant,
29,Chocolate Milk Drink,Beverages,6,Artificial Colors,Unhealthy,May trigger sensitivity or hyperactivity concerns in some individuals.,Additive sensitivity,
30,Instant Soup Mix,Ready Meals,1,Refined Wheat Flour,Unhealthy,Refined base with lower fiber and faster digestion.,Refined carb,
30,Instant Soup Mix,Ready Meals,2,Palm Oil,Unhealthy,"Common processed fat source, often raising saturated fat content.",Saturated fat,
30,Instant Soup Mix,Ready Meals,3,Salt,Unhealthy,Excess sodium may affect blood pressure and kidney health.,High sodium,
30,Instant Soup Mix,Ready Meals,4,Monosodium Glutamate,Unhealthy,May be a sensitivity trigger for some people and often comes with salty flavor profiles.,Additive sensitivity,
30,Instant Soup Mix,Ready Meals,5,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
30,Instant Soup Mix,Ready Meals,6,Spice Mix,Neutral,,,Used for taste and aroma.
31,Canned Tomato Soup,Canned Foods,1,Refined Wheat Flour,Unhealthy,Refined base with lower fiber and faster digestion.,Refined carb,
31,Canned Tomato Soup,Canned Foods,2,Palm Oil,Unhealthy,"Common processed fat source, often raising saturated fat content.",Saturated fat,
31,Canned Tomato Soup,Canned Foods,3,Salt,Unhealthy,Excess sodium may affect blood pressure and kidney health.,High sodium,
31,Canned Tomato Soup,Canned Foods,4,Monosodium Glutamate,Unhealthy,May be a sensitivity trigger for some people and often comes with salty flavor profiles.,Additive sensitivity,
31,Canned Tomato Soup,Canned Foods,5,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
31,Canned Tomato Soup,Canned Foods,6,Spice Mix,Neutral,,,Used for taste and aroma.
32,Canned Baked Beans,Canned Foods,1,Refined Wheat Flour,Unhealthy,Refined base with lower fiber and faster digestion.,Refined carb,
32,Canned Baked Beans,Canned Foods,2,Palm Oil,Unhealthy,"Common processed fat source, often raising saturated fat content.",Saturated fat,
32,Canned Baked Beans,Canned Foods,3,Salt,Unhealthy,Excess sodium may affect blood pressure and kidney health.,High sodium,
32,Canned Baked Beans,Canned Foods,4,Monosodium Glutamate,Unhealthy,May be a sensitivity trigger for some people and often comes with salty flavor profiles.,Additive sensitivity,
32,Canned Baked Beans,Canned Foods,5,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
32,Canned Baked Beans,Canned Foods,6,Spice Mix,Neutral,,,Used for taste and aroma.
33,Canned Sweet Corn,Canned Foods,1,Refined Wheat Flour,Unhealthy,Refined base with lower fiber and faster digestion.,Refined carb,
33,Canned Sweet Corn,Canned Foods,2,Palm Oil,Unhealthy,"Common processed fat source, often raising saturated fat content.",Saturated fat,
33,Canned Sweet Corn,Canned Foods,3,Salt,Unhealthy,Excess sodium may affect blood pressure and kidney health.,High sodium,
33,Canned Sweet Corn,Canned Foods,4,Monosodium Glutamate,Unhealthy,May be a sensitivity trigger for some people and often comes with salty flavor profiles.,Additive sensitivity,
33,Canned Sweet Corn,Canned Foods,5,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
33,Canned Sweet Corn,Canned Foods,6,Spice Mix,Neutral,,,Used for taste and aroma.
34,Canned Tuna in Oil,Canned Foods,1,Meat,Neutral,,,Primary protein source.
34,Canned Tuna in Oil,Canned Foods,2,Salt,Unhealthy,Processed meats are often high in sodium.,High sodium,
34,Canned Tuna in Oil,Canned Foods,3,Sodium Nitrite,Unhealthy,Curing preservative; frequent intake of processed meats is generally considered less healthy.,Preservative,
34,Canned Tuna in Oil,Canned Foods,4,Starch,Neutral,,,Used for texture and binding.
34,Canned Tuna in Oil,Canned Foods,5,Protein Isolate,Neutral,,,Added to improve texture or protein content.
34,Canned Tuna in Oil,Canned Foods,6,Spices,Neutral,,,Used for taste.
35,Canned Chicken Sausage,Canned Foods,1,Meat,Neutral,,,Primary protein source.
35,Canned Chicken Sausage,Canned Foods,2,Salt,Unhealthy,Processed meats are often high in sodium.,High sodium,
35,Canned Chicken Sausage,Canned Foods,3,Sodium Nitrite,Unhealthy,Curing preservative; frequent intake of processed meats is generally considered less healthy.,Preservative,
35,Canned Chicken Sausage,Canned Foods,4,Starch,Neutral,,,Used for texture and binding.
35,Canned Chicken Sausage,Canned Foods,5,Protein Isolate,Neutral,,,Added to improve texture or protein content.
35,Canned Chicken Sausage,Canned Foods,6,Spices,Neutral,,,Used for taste.
36,White Bread,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
36,White Bread,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
36,White Bread,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
36,White Bread,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
36,White Bread,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
36,White Bread,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
37,Burger Buns,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
37,Burger Buns,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
37,Burger Buns,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
37,Burger Buns,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
37,Burger Buns,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
37,Burger Buns,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
38,Packaged Muffin,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
38,Packaged Muffin,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
38,Packaged Muffin,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
38,Packaged Muffin,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
38,Packaged Muffin,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
38,Packaged Muffin,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
39,Donut Pack,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
39,Donut Pack,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
39,Donut Pack,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
39,Donut Pack,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
39,Donut Pack,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
39,Donut Pack,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
40,Frozen Paratha,Frozen Foods,1,Refined Flour or Breadcrumbs,Unhealthy,Processed coating/base with lower fiber.,Refined carb,
40,Frozen Paratha,Frozen Foods,2,Processed Cheese or Fat,Unhealthy,Can increase saturated fat and sodium.,Saturated fat/high sodium,
40,Frozen Paratha,Frozen Foods,3,Salt,Unhealthy,Raises sodium content substantially.,High sodium,
40,Frozen Paratha,Frozen Foods,4,Stabilizers,Neutral,,,Used to maintain texture.
40,Frozen Paratha,Frozen Foods,5,Protein Source,Healthy,,,"Provides protein, depending on product quality."
40,Frozen Paratha,Frozen Foods,6,Herbs and Seasonings,Neutral,,,Used for flavor.
41,Frozen Samosa,Frozen Foods,1,Refined Flour or Breadcrumbs,Unhealthy,Processed coating/base with lower fiber.,Refined carb,
41,Frozen Samosa,Frozen Foods,2,Processed Cheese or Fat,Unhealthy,Can increase saturated fat and sodium.,Saturated fat/high sodium,
