food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description
18,MunchMate Caramel Chips Treat,Snacks,Ultra-processed,9,1,4,4,11.11,44.44,44.44,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MunchMate Caramel Chips Treat is a snacks item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
19,ZestyBowl Chilli Lime Chips Classic,Snacks,Processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,ZestyBowl Chilli Lime Chips Classic is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
20,GoldenSpoon Pepper Chips Max,Snacks,Processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,GoldenSpoon Pepper Chips Max is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
21,QuickTreat Chocolate Chips Bites,Snacks,Ultra-processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,QuickTreat Chocolate Chips Bites is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
22,DailyCrave Butter Crackers Crunch,Snacks,Ultra-processed,9,0,4,5,0.0,44.44,55.56,"Children (Hyperactivity), Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,DailyCrave Butter Crackers Crunch is a snacks item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
23,SnackNest Herb Nachos Delight,Snacks,Ultra-processed,8,0,5,3,0.0,62.5,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SnackNest Herb Nachos Delight is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
24,SuperBowl Butter Pretzels Mix,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,SuperBowl Butter Pretzels Mix is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
25,SnackNest Mango Pretzels Cup,Snacks,Ultra-processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SnackNest Mango Pretzels Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
26,SuperBowl Cheese Namkeen Lite,Snacks,Ultra-processed,8,0,5,3,0.0,62.5,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SuperBowl Cheese Namkeen Lite is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
27,PureSip Caramel Namkeen Plus,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,PureSip Caramel Namkeen Plus is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
28,SmartSnack Strawberry Nachos Treat,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SmartSnack Strawberry Nachos Treat is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
29,NutriPick Vanilla Namkeen Classic,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,NutriPick Vanilla Namkeen Classic is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
30,FreshBite Chilli Lime Namkeen Max,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,FreshBite Chilli Lime Namkeen Max is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
31,FlavorHub Strawberry Puffs Bites,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FlavorHub Strawberry Puffs Bites is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
32,PrimePantry Pepper Chips Crunch,Snacks,Ultra-processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,PrimePantry Pepper Chips Crunch is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
33,MunchMate Pepper Namkeen Delight,Snacks,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,MunchMate Pepper Namkeen Delight is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
34,SnackNest Salted Crackers Mix,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SnackNest Salted Crackers Mix is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
35,GoldenSpoon Spicy Pretzels Cup,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,GoldenSpoon Spicy Pretzels Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
36,MealMint Mango Pretzels Lite,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MealMint Mango Pretzels Lite is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
37,SmartSnack Barbecue Nachos Plus,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SmartSnack Barbecue Nachos Plus is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
38,PrimePantry Mango Crackers Treat,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,PrimePantry Mango Crackers Treat is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
39,PrimePantry Spicy Chips Classic,Snacks,Ultra-processed,9,0,4,5,0.0,44.44,55.56,"Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Spicy Chips Classic is a snacks item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
40,LiteLeaf Herb Chips Max,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,LiteLeaf Herb Chips Max is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
41,UrbanMunch Pepper Puffs Bites,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,UrbanMunch Pepper Puffs Bites is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
42,MunchMate Strawberry Crackers Crunch,Snacks,Ultra-processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MunchMate Strawberry Crackers Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
43,FreshBite Butter Crackers Delight,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FreshBite Butter Crackers Delight is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
44,PureSip Barbecue Crackers Mix,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,PureSip Barbecue Crackers Mix is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
45,ZestyBowl Strawberry Pretzels Cup,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,ZestyBowl Strawberry Pretzels Cup is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
46,FamilyChoice Pepper Crackers Lite,Snacks,Ultra-processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FamilyChoice Pepper Crackers Lite is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
47,HappyHarvest Chocolate Crackers Plus,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,HappyHarvest Chocolate Crackers Plus is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
48,MunchMate Chilli Lime Pretzels Treat,Snacks,Processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MunchMate Chilli Lime Pretzels Treat is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
49,SmartSnack Roasted Pretzels Classic,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,SmartSnack Roasted Pretzels Classic is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
50,UrbanMunch Creamy Puffs Max,Snacks,Processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,UrbanMunch Creamy Puffs Max is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
51,HomeCart Herb Nachos Bites,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,HomeCart Herb Nachos Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
52,QuickTreat Masala Crackers Crunch,Snacks,Processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Masala Crackers Crunch is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
53,MealMint Herb Puffs Delight,Snacks,Ultra-processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,MealMint Herb Puffs Delight is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
54,FunFoods Herb Pretzels Mix,Snacks,Ultra-processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Lactose Intolerance, Obesity or Overweight",Caution,FunFoods Herb Pretzels Mix is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
55,NutriPick Pepper Pretzels Cup,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,NutriPick Pepper Pretzels Cup is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
56,CrispyCo Mango Puffs Lite,Snacks,Processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,CrispyCo Mango Puffs Lite is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
57,FamilyChoice Cheese Nachos Plus,Snacks,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FamilyChoice Cheese Nachos Plus is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
58,LiteLeaf Spicy Crackers Treat,Snacks,Ultra-processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,LiteLeaf Spicy Crackers Treat is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
59,LiteLeaf Spicy Puffs Classic,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,LiteLeaf Spicy Puffs Classic is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
60,HomeCart Caramel Chips Max,Snacks,Ultra-processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,HomeCart Caramel Chips Max is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
61,MealMint Butter Puffs Bites,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MealMint Butter Puffs Bites is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
62,GoldenSpoon Pepper Chips Crunch,Snacks,Processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,GoldenSpoon Pepper Chips Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
63,FunFoods Pepper Crackers Delight,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FunFoods Pepper Crackers Delight is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
64,FlavorHub Caramel Crackers Mix,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FlavorHub Caramel Crackers Mix is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
65,TasteWave Vanilla Puffs Cup,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Lactose Intolerance, Obesity or Overweight",Caution,TasteWave Vanilla Puffs Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
66,YumBasket Pepper Pretzels Lite,Snacks,Ultra-processed,8,0,5,3,0.0,62.5,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,YumBasket Pepper Pretzels Lite is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
67,HomeCart Herb Nachos Plus,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,HomeCart Herb Nachos Plus is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
68,TasteWave Butter Crackers Treat,Snacks,Processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,TasteWave Butter Crackers Treat is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
69,HomeCart Butter Chips Classic,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,HomeCart Butter Chips Classic is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
70,FoodCraft Barbecue Chips Max,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FoodCraft Barbecue Chips Max is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
71,FoodCraft Butter Chips Bites,Snacks,Ultra-processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FoodCraft Butter Chips Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
72,PrimePantry Masala Nachos Crunch,Snacks,Processed,5,0,2,3,0.0,40.0,60.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Masala Nachos Crunch is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
73,LiteLeaf Salted Nachos Delight,Snacks,Processed,5,0,2,3,0.0,40.0,60.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,LiteLeaf Salted Nachos Delight is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
74,SmartSnack Herb Namkeen Mix,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SmartSnack Herb Namkeen Mix is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
75,QuickTreat Spicy Namkeen Cup,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,QuickTreat Spicy Namkeen Cup is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
76,MealMint Classic Nachos Lite,Snacks,Processed,9,0,5,4,0.0,55.56,44.44,"Children (Hyperactivity), Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MealMint Classic Nachos Lite is a snacks item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
77,PrimePantry Chocolate Chips Plus,Snacks,Ultra-processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,PrimePantry Chocolate Chips Plus is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
78,FoodCraft Tomato Chips Treat,Snacks,Processed,8,1,4,3,12.5,50.0,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Lactose Intolerance, Obesity or Overweight",Caution,FoodCraft Tomato Chips Treat is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
79,MealMint Masala Namkeen Classic,Snacks,Processed,9,0,6,3,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,MealMint Masala Namkeen Classic is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
80,HappyHarvest Masala Namkeen Max,Snacks,Processed,9,0,5,4,0.0,55.56,44.44,"Children (Hyperactivity), Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,HappyHarvest Masala Namkeen Max is a snacks item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
81,GoldenSpoon Roasted Chips Bites,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,GoldenSpoon Roasted Chips Bites is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
82,FoodCraft Roasted Pretzels Crunch,Snacks,Processed,9,1,4,4,11.11,44.44,44.44,"Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Caution,FoodCraft Roasted Pretzels Crunch is a snacks item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
83,SuperBowl Classic Namkeen Delight,Snacks,Processed,8,0,5,3,0.0,62.5,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SuperBowl Classic Namkeen Delight is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
84,QuickTreat Masala Crackers Mix,Snacks,Processed,9,0,5,4,0.0,55.56,44.44,"Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Caution,QuickTreat Masala Crackers Mix is a snacks item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
85,FoodCraft Tomato Nachos Cup,Snacks,Ultra-processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FoodCraft Tomato Nachos Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
86,PureSip Strawberry Crackers Lite,Snacks,Processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,PureSip Strawberry Crackers Lite is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
87,PureSip Mixed Fruit Nachos Plus,Snacks,Ultra-processed,5,0,4,1,0.0,80.0,20.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Recommended,PureSip Mixed Fruit Nachos Plus is a snacks item with 20.0% of its listed ingredients marked as unhealthy in this expanded dataset.
88,LiteLeaf Strawberry Pretzels Treat,Snacks,Processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,LiteLeaf Strawberry Pretzels Treat is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
89,QuickTreat Mango Crackers Classic,Snacks,Ultra-processed,9,0,5,4,0.0,55.56,44.44,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,QuickTreat Mango Crackers Classic is a snacks item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
90,YumBasket Salted Crackers Max,Snacks,Ultra-processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,YumBasket Salted Crackers Max is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
