food_id,food_name,category,ingredient_order,ingredient_name,ingredient_type,reason_if_unhealthy,health_concern_tag,ingredient_note
12,PureSip Creamy Namkeen Crunch,Snacks,9,Water,Neutral,,,Base ingredient.
13,SmartSnack Tomato Crackers Delight,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
13,SmartSnack Tomato Crackers Delight,Snacks,2,Spices,Neutral,,,Used for flavoring.
13,SmartSnack Tomato Crackers Delight,Snacks,3,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
13,SmartSnack Tomato Crackers Delight,Snacks,4,Potatoes,Neutral,,,Main starch base ingredient.
13,SmartSnack Tomato Crackers Delight,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
13,SmartSnack Tomato Crackers Delight,Snacks,6,Corn,Neutral,,,Main grain base ingredient.
13,SmartSnack Tomato Crackers Delight,Snacks,7,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,2,Spices,Neutral,,,Used for flavoring.
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,3,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,4,Potatoes,Neutral,,,Main starch base ingredient.
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,5,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,6,Corn,Neutral,,,Main grain base ingredient.
15,DailyCrave Classic Crackers Cup,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
15,DailyCrave Classic Crackers Cup,Snacks,2,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
15,DailyCrave Classic Crackers Cup,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
15,DailyCrave Classic Crackers Cup,Snacks,4,Spices,Neutral,,,Used for flavoring.
15,DailyCrave Classic Crackers Cup,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
15,DailyCrave Classic Crackers Cup,Snacks,6,Potatoes,Neutral,,,Main starch base ingredient.
15,DailyCrave Classic Crackers Cup,Snacks,7,Corn,Neutral,,,Main grain base ingredient.
16,NutriPick Butter Chips Lite,Snacks,1,Spices,Neutral,,,Used for flavoring.
16,NutriPick Butter Chips Lite,Snacks,2,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
16,NutriPick Butter Chips Lite,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
16,NutriPick Butter Chips Lite,Snacks,4,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
16,NutriPick Butter Chips Lite,Snacks,5,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
16,NutriPick Butter Chips Lite,Snacks,6,Corn,Neutral,,,Main grain base ingredient.
16,NutriPick Butter Chips Lite,Snacks,7,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
16,NutriPick Butter Chips Lite,Snacks,8,Citric Acid,Neutral,,,Common acidity regulator.
17,SuperBowl Herb Puffs Plus,Snacks,1,Spices,Neutral,,,Used for flavoring.
17,SuperBowl Herb Puffs Plus,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
17,SuperBowl Herb Puffs Plus,Snacks,3,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
17,SuperBowl Herb Puffs Plus,Snacks,4,Corn,Neutral,,,Main grain base ingredient.
17,SuperBowl Herb Puffs Plus,Snacks,5,Potatoes,Neutral,,,Main starch base ingredient.
17,SuperBowl Herb Puffs Plus,Snacks,6,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
17,SuperBowl Herb Puffs Plus,Snacks,7,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
17,SuperBowl Herb Puffs Plus,Snacks,8,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
18,MunchMate Caramel Chips Treat,Snacks,1,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
18,MunchMate Caramel Chips Treat,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
18,MunchMate Caramel Chips Treat,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
18,MunchMate Caramel Chips Treat,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
18,MunchMate Caramel Chips Treat,Snacks,5,Spices,Neutral,,,Used for flavoring.
18,MunchMate Caramel Chips Treat,Snacks,6,Potatoes,Neutral,,,Main starch base ingredient.
18,MunchMate Caramel Chips Treat,Snacks,7,Corn,Neutral,,,Main grain base ingredient.
18,MunchMate Caramel Chips Treat,Snacks,8,Peanuts,Healthy,,,Provides protein and healthy fats.
18,MunchMate Caramel Chips Treat,Snacks,9,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
19,ZestyBowl Chilli Lime Chips Classic,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
19,ZestyBowl Chilli Lime Chips Classic,Snacks,2,Spices,Neutral,,,Used for flavoring.
19,ZestyBowl Chilli Lime Chips Classic,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
19,ZestyBowl Chilli Lime Chips Classic,Snacks,4,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
19,ZestyBowl Chilli Lime Chips Classic,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
19,ZestyBowl Chilli Lime Chips Classic,Snacks,6,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
19,ZestyBowl Chilli Lime Chips Classic,Snacks,7,Corn,Neutral,,,Main grain base ingredient.
19,ZestyBowl Chilli Lime Chips Classic,Snacks,8,Cultures,Healthy,,,Beneficial in fermented dairy products.
20,GoldenSpoon Pepper Chips Max,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
20,GoldenSpoon Pepper Chips Max,Snacks,2,Corn,Neutral,,,Main grain base ingredient.
20,GoldenSpoon Pepper Chips Max,Snacks,3,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
20,GoldenSpoon Pepper Chips Max,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
20,GoldenSpoon Pepper Chips Max,Snacks,5,Potatoes,Neutral,,,Main starch base ingredient.
20,GoldenSpoon Pepper Chips Max,Snacks,6,Spices,Neutral,,,Used for flavoring.
20,GoldenSpoon Pepper Chips Max,Snacks,7,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
20,GoldenSpoon Pepper Chips Max,Snacks,8,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
21,QuickTreat Chocolate Chips Bites,Snacks,1,Potatoes,Neutral,,,Main starch base ingredient.
21,QuickTreat Chocolate Chips Bites,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
21,QuickTreat Chocolate Chips Bites,Snacks,3,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
21,QuickTreat Chocolate Chips Bites,Snacks,4,Spices,Neutral,,,Used for flavoring.
21,QuickTreat Chocolate Chips Bites,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
21,QuickTreat Chocolate Chips Bites,Snacks,6,Corn,Neutral,,,Main grain base ingredient.
21,QuickTreat Chocolate Chips Bites,Snacks,7,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
21,QuickTreat Chocolate Chips Bites,Snacks,8,Fruit Puree,Neutral,,,Adds fruit taste.
21,QuickTreat Chocolate Chips Bites,Snacks,9,Cashews,Healthy,,,Adds texture and some minerals.
22,DailyCrave Butter Crackers Crunch,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
22,DailyCrave Butter Crackers Crunch,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
22,DailyCrave Butter Crackers Crunch,Snacks,3,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
22,DailyCrave Butter Crackers Crunch,Snacks,4,Corn,Neutral,,,Main grain base ingredient.
22,DailyCrave Butter Crackers Crunch,Snacks,5,Spices,Neutral,,,Used for flavoring.
22,DailyCrave Butter Crackers Crunch,Snacks,6,Potatoes,Neutral,,,Main starch base ingredient.
22,DailyCrave Butter Crackers Crunch,Snacks,7,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
22,DailyCrave Butter Crackers Crunch,Snacks,8,Artificial Flavors,Unhealthy,Used for taste enhancement without nutritional value.,Artificial additives,
22,DailyCrave Butter Crackers Crunch,Snacks,9,Artificial Colors,Unhealthy,Artificial coloring adds no nutritional value and may be unsuitable for some children.,Artificial additives,
23,SnackNest Herb Nachos Delight,Snacks,1,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
23,SnackNest Herb Nachos Delight,Snacks,2,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
23,SnackNest Herb Nachos Delight,Snacks,3,Corn,Neutral,,,Main grain base ingredient.
23,SnackNest Herb Nachos Delight,Snacks,4,Spices,Neutral,,,Used for flavoring.
23,SnackNest Herb Nachos Delight,Snacks,5,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
23,SnackNest Herb Nachos Delight,Snacks,6,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
23,SnackNest Herb Nachos Delight,Snacks,7,Potatoes,Neutral,,,Main starch base ingredient.
23,SnackNest Herb Nachos Delight,Snacks,8,Natural Flavoring,Neutral,,,Used for taste.
24,SuperBowl Butter Pretzels Mix,Snacks,1,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
24,SuperBowl Butter Pretzels Mix,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
24,SuperBowl Butter Pretzels Mix,Snacks,3,Spices,Neutral,,,Used for flavoring.
24,SuperBowl Butter Pretzels Mix,Snacks,4,Potatoes,Neutral,,,Main starch base ingredient.
24,SuperBowl Butter Pretzels Mix,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
24,SuperBowl Butter Pretzels Mix,Snacks,6,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
25,SnackNest Mango Pretzels Cup,Snacks,1,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
25,SnackNest Mango Pretzels Cup,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
25,SnackNest Mango Pretzels Cup,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
25,SnackNest Mango Pretzels Cup,Snacks,4,Corn,Neutral,,,Main grain base ingredient.
25,SnackNest Mango Pretzels Cup,Snacks,5,Spices,Neutral,,,Used for flavoring.
25,SnackNest Mango Pretzels Cup,Snacks,6,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
25,SnackNest Mango Pretzels Cup,Snacks,7,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
25,SnackNest Mango Pretzels Cup,Snacks,8,Rice Flour,Neutral,,,Common flour base used for texture.
25,SnackNest Mango Pretzels Cup,Snacks,9,Cashews,Healthy,,,Adds texture and some minerals.
26,SuperBowl Cheese Namkeen Lite,Snacks,1,Spices,Neutral,,,Used for flavoring.
26,SuperBowl Cheese Namkeen Lite,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
26,SuperBowl Cheese Namkeen Lite,Snacks,3,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
26,SuperBowl Cheese Namkeen Lite,Snacks,4,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
26,SuperBowl Cheese Namkeen Lite,Snacks,5,Corn,Neutral,,,Main grain base ingredient.
26,SuperBowl Cheese Namkeen Lite,Snacks,6,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
26,SuperBowl Cheese Namkeen Lite,Snacks,7,Potatoes,Neutral,,,Main starch base ingredient.
26,SuperBowl Cheese Namkeen Lite,Snacks,8,Raising Agents,Neutral,,,Used in bakery formulations.
27,PureSip Caramel Namkeen Plus,Snacks,1,Potatoes,Neutral,,,Main starch base ingredient.
27,PureSip Caramel Namkeen Plus,Snacks,2,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
27,PureSip Caramel Namkeen Plus,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
27,PureSip Caramel Namkeen Plus,Snacks,4,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
27,PureSip Caramel Namkeen Plus,Snacks,5,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
27,PureSip Caramel Namkeen Plus,Snacks,6,Spices,Neutral,,,Used for flavoring.
27,PureSip Caramel Namkeen Plus,Snacks,7,Corn,Neutral,,,Main grain base ingredient.
28,SmartSnack Strawberry Nachos Treat,Snacks,1,Corn,Neutral,,,Main grain base ingredient.
28,SmartSnack Strawberry Nachos Treat,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
28,SmartSnack Strawberry Nachos Treat,Snacks,3,Spices,Neutral,,,Used for flavoring.
28,SmartSnack Strawberry Nachos Treat,Snacks,4,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
28,SmartSnack Strawberry Nachos Treat,Snacks,5,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
29,NutriPick Vanilla Namkeen Classic,Snacks,1,Potatoes,Neutral,,,Main starch base ingredient.
29,NutriPick Vanilla Namkeen Classic,Snacks,2,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
29,NutriPick Vanilla Namkeen Classic,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
29,NutriPick Vanilla Namkeen Classic,Snacks,4,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
29,NutriPick Vanilla Namkeen Classic,Snacks,5,Spices,Neutral,,,Used for flavoring.
30,FreshBite Chilli Lime Namkeen Max,Snacks,1,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
30,FreshBite Chilli Lime Namkeen Max,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
30,FreshBite Chilli Lime Namkeen Max,Snacks,3,Spices,Neutral,,,Used for flavoring.
30,FreshBite Chilli Lime Namkeen Max,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
30,FreshBite Chilli Lime Namkeen Max,Snacks,5,Potatoes,Neutral,,,Main starch base ingredient.
31,FlavorHub Strawberry Puffs Bites,Snacks,1,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
31,FlavorHub Strawberry Puffs Bites,Snacks,2,Potatoes,Neutral,,,Main starch base ingredient.
31,FlavorHub Strawberry Puffs Bites,Snacks,3,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
31,FlavorHub Strawberry Puffs Bites,Snacks,4,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
31,FlavorHub Strawberry Puffs Bites,Snacks,5,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
31,FlavorHub Strawberry Puffs Bites,Snacks,6,Spices,Neutral,,,Used for flavoring.
31,FlavorHub Strawberry Puffs Bites,Snacks,7,Corn,Neutral,,,Main grain base ingredient.
32,PrimePantry Pepper Chips Crunch,Snacks,1,Potatoes,Neutral,,,Main starch base ingredient.
32,PrimePantry Pepper Chips Crunch,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
32,PrimePantry Pepper Chips Crunch,Snacks,3,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
32,PrimePantry Pepper Chips Crunch,Snacks,4,Spices,Neutral,,,Used for flavoring.
32,PrimePantry Pepper Chips Crunch,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
33,MunchMate Pepper Namkeen Delight,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
33,MunchMate Pepper Namkeen Delight,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
33,MunchMate Pepper Namkeen Delight,Snacks,3,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
33,MunchMate Pepper Namkeen Delight,Snacks,4,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
33,MunchMate Pepper Namkeen Delight,Snacks,5,Corn,Neutral,,,Main grain base ingredient.
34,SnackNest Salted Crackers Mix,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
34,SnackNest Salted Crackers Mix,Snacks,2,Spices,Neutral,,,Used for flavoring.
34,SnackNest Salted Crackers Mix,Snacks,3,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
34,SnackNest Salted Crackers Mix,Snacks,4,Corn,Neutral,,,Main grain base ingredient.
